Hand,Q-Learning,Q-Learning with A,Sarsa with A
0,"$5,000","$5,000","$5,000"
1000,"$4,435","$5,025","$4,895"
2000,"$3,940","$5,155","$4,450"
3000,"$2,900","$5,230","$4,305"
4000,"$3,040","$4,850","$3,490"
5000,"$2,330","$4,220","$3,310"
6000,"$1,930","$4,070","$3,415"
7000,"$1,655","$3,945","$2,985"
8000,"$1,095","$3,700","$3,270"
9000,$810,"$3,610","$2,445"
10000,$625,"$3,665","$1,835"
11000,$0,"$3,530","$1,335"
12000,,"$3,320","$1,115"
13000,,"$3,040",$415
14000,,"$2,845",$0
15000,,"$2,535",
16000,,"$2,095",
17000,,"$1,315",
18000,,"$1,280",
19000,,"$1,030",
20000,,$915,
21000,,$980,
22000,,$655,
23000,,$340,
24000,,$345,
25000,,$215,
26000,,$0,
