Hand,Random,Q-Learning
50,5915,5810
100,5890,5580
150,5635,5630
200,5445,5495
250,5295,5290
300,5025,5195
350,5020,5130
400,4795,5045
450,4465,4890
500,4245,4745
550,4105,4685
600,3855,4645
650,3735,4690
700,3745,4570
750,3545,4580
800,3245,4420
850,2815,4320
900,2700,4305
950,2465,4045
1000,2180,4110
1050,1870,4185
1100,1515,4180
1150,1280,4165
1200,1065,4040
1250,775,3875
1300,460,3915
1350,295,3775
1400,65,3780
1450,0,3670
1500,0,3670
1550,0,3690
1600,0,3670
1650,0,3515
1700,0,3425
1750,0,3295
1800,0,3330
1850,0,3280
1900,0,3305
1950,0,3170
2000,0,3180
2050,0,3145
2100,0,3115
2150,0,3015
2200,0,3050
2250,0,3035
2300,0,2985
2350,0,2870
2400,0,2690
2450,0,2585
2500,0,2515
2550,0,2285
2600,0,2285
2650,0,2210
2700,0,2180
2750,0,2095
2800,0,2020
2850,0,2190
2900,0,2350
2950,0,2205
3000,0,2185
3050,0,2170
3100,0,2045
3150,0,1965
3200,0,1925
3250,0,1770
3300,0,1885
3350,0,1800
3400,0,1785
3450,0,1615
3500,0,1595
3550,0,1465
3600,0,1390
3650,0,1350
3700,0,1280
3750,0,1215
3800,0,1065
3850,0,980
3900,0,1015
3950,0,875
4000,0,875
4050,0,870
4100,0,855
4150,0,660
4200,0,690
4250,0,600
4300,0,675
4350,0,705
4400,0,600
4450,0,615
4500,0,680
4550,0,735
4600,0,605
4650,0,650
4700,0,515
4750,0,505
4800,0,395
4850,0,305
4900,0,430
4950,0,270
5000,0,230
5050,0,225
5100,0,235
5150,0,215
5200,0,100
5250,0,205
5300,0,70
5350,0,100
5400,0,50
5450,0,0
